run_id,machine_id,cell,mode,death_q,threads,N,bytes_per_particle,trial,ns_frame,ns_particle
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,4000,68,2,35562.1,8.8905
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,16000,68,0,122743.5,7.6715
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,16000,68,1,103300.0,6.4563
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,16000,68,2,100215.2,6.2635
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,65000,68,0,405337.7,6.2360
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,65000,68,1,405699.0,6.2415
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,65000,68,2,406192.7,6.2491
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,262000,68,0,1630604.8,6.2237
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,262000,68,1,1627659.6,6.2124
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,262000,68,2,1626237.7,6.2070
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,1000000,68,0,6170650.6,6.1707
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,1000000,68,1,6195933.8,6.1959
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,1000000,68,2,6180644.8,6.1806
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,4000000,68,0,24677654.6,6.1694
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,4000000,68,1,24703975.6,6.1760
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,4000000,68,2,24697482.5,6.1744
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,4000,68,0,59229.2,14.8073
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,4000,68,1,49046.5,12.2616
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,4000,68,2,42979.2,10.7448
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,16000,68,0,141745.2,8.8591
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,16000,68,1,126291.0,7.8932
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,16000,68,2,126272.9,7.8921
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,65000,68,0,518526.7,7.9773
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,65000,68,1,517693.5,7.9645
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,65000,68,2,519034.8,7.9852
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,262000,68,0,2097815.0,8.0069
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,262000,68,1,2090502.3,7.9790
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,262000,68,2,2095761.5,7.9991
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,1000000,68,0,7984739.0,7.9847
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,1000000,68,1,7974554.0,7.9746
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,1000000,68,2,7973005.0,7.9730
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,4000000,68,0,31899091.7,7.9748
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,4000000,68,1,32144545.8,8.0361
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.25,1,4000000,68,2,31737749.8,7.9344
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.5,1,4000,68,0,188219.8,47.0549
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.5,1,4000,68,1,129812.5,32.4531
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.5,1,4000,68,2,111629.0,27.9072
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.5,1,16000,68,0,436538.3,27.2836
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.5,1,16000,68,1,437789.8,27.3619
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.5,1,16000,68,2,437794.0,27.3621
