run_id,machine_id,cell,mode,death_q,threads,N,bytes_per_particle,trial,ns_frame,ns_particle
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,64000000,68,0,533861923.1,8.3416
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,64000000,68,1,527340845.4,8.2397
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,64000000,68,2,529734027.3,8.2771
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.25,1,4000,68,0,97844.6,24.4611
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.25,1,4000,68,1,67731.9,16.9330
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.25,1,4000,68,2,56205.2,14.0513
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.25,1,16000,68,0,184460.4,11.5288
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.25,1,16000,68,1,172300.0,10.7688
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.25,1,16000,68,2,172630.8,10.7894
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.25,1,65000,68,0,708016.0,10.8926
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.25,1,65000,68,1,712744.2,10.9653
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.25,1,65000,68,2,714136.0,10.9867
